"#tblds_08_SedIronData.csv: Sediment iron concentrations (ferrous, ferric, and total) determined from sediment core samples collected at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1992 and 2010.  Cores were collected by drilling to the top of the desired sample interval with a hollow-stem auger and then driving a wire-line piston core barrel containing a polycarbonate liner through the target sample interval. The bottom 10 centimeters of the core were frozen prior to extraction from the borehole to prevent fluid redistribution.",,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,TOC_mBLS,TOS_cmTOC,BOS_cmTOC,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_08,x0601,601,7/18/2006,,SC,8.53,82,92,xLO044,Fe_2_umolG,,24.83,xLC002,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,127,137,xLO044,Fe_2_umolG,,24.64,xLC002,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,157,167,xLO045,Fe_3_umolG,,6.21,xLC003,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,37,47,xLO045,Fe_3_umolG,,19.68,xLC003,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,82,92,xLO045,Fe_3_umolG,,1.87,xLC003,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,127,137,xLO045,Fe_3_umolG,,2.38,xLC003,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,157,167,xLO047,Fe_T_umolG,,33.13,xLC001,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,37,47,xLO047,Fe_T_umolG,,24.73,xLC001,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,82,92,xLO047,Fe_T_umolG,,27.36,xLC001,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,127,137,xLO047,Fe_T_umolG,,27.75,xLC001,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
