FileName_enttypl,AttributeLabel_attrlabl,AttributeDefinition_attrdef,AttributeDefSource_attrdefs,AttributeDomain
tblds_09_InorgWaterData_2009.csv,OrigSiteName,"These site names are from original data provided by original data authors.  These are kept in case the original, archived data need to be compared with the data in this data release.",Producer-defined,unrepresentable domain (udom)
tblds_09_InorgWaterData_2009.csv,sample_dt,Date the sample was collected.,Producer-defined,range domain (rdom); minimum and maximum values of a continuum of valid values
tblds_09_InorgWaterData_2009.csv,Comments_sample_dt,Further information to help understand the sample date.,Producer-defined,unrepresentable domain (udom)
tblds_09_InorgWaterData_2009.csv,medium_cd,Environmental media from which the sample was collected.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_09_InorgWaterData_2009.csv,parm_cd,"Five-digit codes used to identify the constituent or property measured.  An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_09_InorgWaterData_2009.csv,parm_shortname,"Short, descriptive ""database appropriate"" name describing what the result value is representing.",Producer-defined,enumerated domain (edom); members of an established set of values
tblds_09_InorgWaterData_2009.csv,remark_cd,Code that qualifies a result in the result_va field for the constituent or property measured.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_09_InorgWaterData_2009.csv,result_va,The numeric result value of the constituent or property measured. Or the minimum or maximum reporting value of the constituent or property measured if it was not detected in the sample.,Producer-defined,unrepresentable domain (udom)
tblds_09_InorgWaterData_2009.csv,meth_cd,"Method code for calculating or measuring the value of a parameter. An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_09_InorgWaterData_2009.csv,pub,"Reference(s) for previously published report(s) in which the data collection methods were presented and the result values were discussed, summarized, and/or displayed in tabular or graphic form.",Producer-defined,unrepresentable domain (udom)
tblds_09_InorgWaterData_2009.csv,Comments,Further information to help understand and qualify individual data records.,Producer-defined,unrepresentable domain (udom)
tblds_10_1996CoreData.csv,dataset_id,Alphanumeric string assigned to identify groups of related records that comprise a single data set.,Producer-defined,enumerated domain (edom); members of an established set of values
tblds_10_1996CoreData.csv,LocalSiteName,"This is the unique name assigned to this x y location at the research site.  It is the primary key to link location information to all other data sets. An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users should format this field as text and then use a ""Find and Replace"" tool to remove the x's.",Producer-defined,enumerated domain (edom); members of an established set of values
tblds_10_1996CoreData.csv,OrigSiteName,"These site names are from original data provided by original data authors.  These are kept in case the original, archived data need to be compared with the data in this data release.",Producer-defined,unrepresentable domain (udom)
tblds_10_1996CoreData.csv,sample_dt,Date the sample was collected.,Producer-defined,range domain (rdom); minimum and maximum values of a continuum of valid values
tblds_10_1996CoreData.csv,medium_cd,Environmental media from which the sample was collected.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_10_1996CoreData.csv,TOC_mBLS,The depth to the top of the core sample that was extracted from the subsurface.,Producer-defined,range domain (rdom); minimum and maximum values of a continuum of valid values
tblds_10_1996CoreData.csv,SampleLocation_cmTOC,The distance from the top of the core sample to the location where a hole was drilled in the polycarbonate core sleeve and water was extracted from the core sample with a syringe.,Producer-defined,range domain (rdom); minimum and maximum values of a continuum of valid values
tblds_10_1996CoreData.csv,parm_cd,"Five-digit codes used to identify the constituent or property measured.  An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_10_1996CoreData.csv,parm_shortname,"Short, descriptive ""database appropriate"" name describing what the result value is representing.",Producer-defined,enumerated domain (edom); members of an established set of values
tblds_10_1996CoreData.csv,remark_cd,Code that qualifies a result in the result_va field for the constituent or property measured.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_10_1996CoreData.csv,result_va,The numeric result value of the constituent or property measured. Or the minimum or maximum reporting value of the constituent or property measured if it was not detected in the sample.,Producer-defined,unrepresentable domain (udom)
tblds_10_1996CoreData.csv,meth_cd,"Method code for calculating or measuring the value of a parameter. An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_10_1996CoreData.csv,pub,"Reference(s) for previously published report(s) in which the data collection methods were presented and the result values were discussed, summarized, and/or displayed in tabular or graphic form.",Producer-defined,unrepresentable domain (udom)
tblds_10_1996CoreData.csv,Comments,Further information to help understand and qualify individual data records.,Producer-defined,unrepresentable domain (udom)
tblds_11_OrganicAcids_1980s_1990s.csv,RecordID,Unique numeric value assigned to identify unique records within this data set.,Producer-defined,range domain (rdom); minimum and maximum values of a continuum of valid values
tblds_11_OrganicAcids_1980s_1990s.csv,dataset_id,Alphanumeric string assigned to identify groups of related records that comprise a single data set.,Producer-defined,enumerated domain (edom); members of an established set of values
tblds_11_OrganicAcids_1980s_1990s.csv,LocalSiteName,"This is the unique name assigned to this x y location at the research site.  It is the primary key to link location information to all other data sets. An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users should format this field as text and then use a ""Find and Replace"" tool to remove the x's.",Producer-defined,enumerated domain (edom); members of an established set of values
tblds_11_OrganicAcids_1980s_1990s.csv,OrigSiteName,"These site names are from original data provided by original data authors.  These are kept in case the original, archived data need to be compared with the data in this data release.",Producer-defined,unrepresentable domain (udom)
