Year,Sample_ID,Collection_Date,Latitude,Longitude,Sample_Type,Collection_Depth,Collection_Mthd,Constituent,Definition,Reported_Value,Reported_QA,Unit,Instrument
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,NO3,Nitrate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,NVDOC,Nonvolatile dissolved organic carbon concentration of the sample,13.0,,mg/L,TOC Analyzer
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Na,Sodium concentration of the sample,1.56,,mg/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,PO4,Phosphate concentration of the sample,0.200,LT,mg/L,IC
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,SO4,Sulfate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Si,Silicon concentration of the sample,2.92,,mg/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Sr,Strontium concentration of the sample,92.0,,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Zn,Zinc concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Al,Aluminum concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Alkalinity,Alkalinity concentration of the sample measured in milligrams per liter as bicarbonate,206,,mg/L,Titrator
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,B,Boron concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Ba,Barium concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Br,Bromide concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Ca,Calcium concentration of the sample,39.0,,mg/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Cl,Chloride concentration of the sample,0.482,,mg/L,IC
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Cu,Copper concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Fe,Iron concentration of the sample,1197,,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,K,Potassium concentration of the sample,0.784,,mg/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Li,Lithium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Mg,Magnesium concentration of the sample,9.93,,mg/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Mn,Manganese concentration of the sample,100,LT,ug/L,ICP-OES
