parm_cd,parm_cd_ref,parm_shortname,parm_cd_descript,units,CASRN,version_when_added
xLS081,Local,diam_0.00112_0.00129mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00112 millimeters and a maximum diameter of 0.00129 millimeters, grams",g,,version 1.0
xLS082,Local,diam_0.00112_0.00138mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00112 millimeters and a maximum diameter of 0.00138 millimeters, grams",g,,version 1.0
xLS083,Local,diam_0.00112_0.00159mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00112 millimeters and a maximum diameter of 0.00159 millimeters, grams",g,,version 1.0
xLS084,Local,diam_0.00112_0.00182mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00112 millimeters and a maximum diameter of 0.00182 millimeters, grams",g,,version 1.0
xLS085,Local,diam_0.00112_0.00209mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00112 millimeters and a maximum diameter of 0.00209 millimeters, grams",g,,version 1.0
xLS086,Local,diam_0.00115_0.00242mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00115 millimeters and a maximum diameter of 0.00242 millimeters, grams",g,,version 1.0
xLS087,Local,diam_0.00119_0.00136mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00119 millimeters and a maximum diameter of 0.00136 millimeters, grams",g,,version 1.0
xLS088,Local,diam_0.0012_0.00129mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0012 millimeters and a maximum diameter of 0.00129 millimeters, grams",g,,version 1.0
xLS089,Local,diam_0.0012_0.00138mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0012 millimeters and a maximum diameter of 0.00138 millimeters, grams",g,,version 1.0
xLS090,Local,diam_0.0012_0.00148mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0012 millimeters and a maximum diameter of 0.00148 millimeters, grams",g,,version 1.0
xLS091,Local,diam_0.0012_0.00159mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0012 millimeters and a maximum diameter of 0.00159 millimeters, grams",g,,version 1.0
xLS092,Local,diam_0.0012_0.00182mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0012 millimeters and a maximum diameter of 0.00182 millimeters, grams",g,,version 1.0
xLS093,Local,diam_0.0012_0.00195mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0012 millimeters and a maximum diameter of 0.00195 millimeters, grams",g,,version 1.0
xLS094,Local,diam_0.00129_0.00148mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00129 millimeters and a maximum diameter of 0.00148 millimeters, grams",g,,version 1.0
xLS095,Local,diam_0.00129_0.00209mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00129 millimeters and a maximum diameter of 0.00209 millimeters, grams",g,,version 1.0
xLS096,Local,diam_0.00129_0.00224mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00129 millimeters and a maximum diameter of 0.00224 millimeters, grams",g,,version 1.0
