parm_cd,parm_cd_ref,parm_shortname,parm_cd_descript,units,CASRN,version_when_added
xLS347,Local,diam_0.0263_0.0369mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0263 millimeters and a maximum diameter of 0.0369 millimeters, grams",g,,version 1.0
xLS348,Local,diam_0.0263_0.0385mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0263 millimeters and a maximum diameter of 0.0385 millimeters, grams",g,,version 1.0
xLS349,Local,diam_0.0265_0.0367mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0265 millimeters and a maximum diameter of 0.0367 millimeters, grams",g,,version 1.0
xLS350,Local,diam_0.0268_0.0379mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0268 millimeters and a maximum diameter of 0.0379 millimeters, grams",g,,version 1.0
xLS351,Local,diam_0.0272_0.0335mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0272 millimeters and a maximum diameter of 0.0335 millimeters, grams",g,,version 1.0
xLS352,Local,diam_0.0272_0.0359mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0272 millimeters and a maximum diameter of 0.0359 millimeters, grams",g,,version 1.0
xLS353,Local,diam_0.0272_0.0377mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0272 millimeters and a maximum diameter of 0.0377 millimeters, grams",g,,version 1.0
xLS354,Local,diam_0.0272_0.0385mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0272 millimeters and a maximum diameter of 0.0385 millimeters, grams",g,,version 1.0
xLS355,Local,diam_0.0274_0.0385mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0274 millimeters and a maximum diameter of 0.0385 millimeters, grams",g,,version 1.0
xLS356,Local,diam_0.0276_0.0387mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0276 millimeters and a maximum diameter of 0.0387 millimeters, grams",g,,version 1.0
xLS357,Local,diam_0.0292_0.0385mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0292 millimeters and a maximum diameter of 0.0385 millimeters, grams",g,,version 1.0
xLS358,Local,diam_0.0292_0.0412mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0292 millimeters and a maximum diameter of 0.0412 millimeters, grams",g,,version 1.0
xLS359,Local,diam_0.03_0.06mm_g,"Soil classification, weight of sample having a minimum diameter of 0.03 millimeters and a maximum diameter of 0.06 millimeters, grams",g,,version 1.0
xLS360,Local,diam_0.0313_0.0412mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0313 millimeters and a maximum diameter of 0.0412 millimeters, grams",g,,version 1.0
xLS361,Local,diam_0.0313_0.0415mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0313 millimeters and a maximum diameter of 0.0415 millimeters, grams",g,,version 1.0
xLS362,Local,diam_0.0313_0.0442mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0313 millimeters and a maximum diameter of 0.0442 millimeters, grams",g,,version 1.0
xLS363,Local,diam_0.0313_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0313 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS364,Local,diam_0.0335_0.0359mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0335 millimeters and a maximum diameter of 0.0359 millimeters, grams",g,,version 1.0
xLS365,Local,diam_0.0335_0.0442mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0335 millimeters and a maximum diameter of 0.0442 millimeters, grams",g,,version 1.0
xLS366,Local,diam_0.0335_0.0474mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0335 millimeters and a maximum diameter of 0.0474 millimeters, grams",g,,version 1.0
xLS367,Local,diam_0.0335_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0335 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS368,Local,diam_0.0344_0.048mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0344 millimeters and a maximum diameter of 0.048 millimeters, grams",g,,version 1.0
xLS369,Local,diam_0.0349_0.048mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0349 millimeters and a maximum diameter of 0.048 millimeters, grams",g,,version 1.0
xLS370,Local,diam_0.0359_0.0385mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0359 millimeters and a maximum diameter of 0.0385 millimeters, grams",g,,version 1.0
xLS371,Local,diam_0.0359_0.0442mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0359 millimeters and a maximum diameter of 0.0442 millimeters, grams",g,,version 1.0
xLS372,Local,diam_0.0359_0.0474mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0359 millimeters and a maximum diameter of 0.0474 millimeters, grams",g,,version 1.0
xLS373,Local,diam_0.0359_0.0508mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0359 millimeters and a maximum diameter of 0.0508 millimeters, grams",g,,version 1.0
xLS374,Local,diam_0.0359_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0359 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS375,Local,diam_0.0367_0.0504mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0367 millimeters and a maximum diameter of 0.0504 millimeters, grams",g,,version 1.0
xLS376,Local,diam_0.0369_0.0518mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0369 millimeters and a maximum diameter of 0.0518 millimeters, grams",g,,version 1.0
xLS377,Local,diam_0.0377_0.0515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0377 millimeters and a maximum diameter of 0.0515 millimeters, grams",g,,version 1.0
xLS378,Local,diam_0.0379_0.0533mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0379 millimeters and a maximum diameter of 0.0533 millimeters, grams",g,,version 1.0
xLS379,Local,diam_0.0385_0.0474mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0385 millimeters and a maximum diameter of 0.0474 millimeters, grams",g,,version 1.0
xLS380,Local,diam_0.0385_0.0508mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0385 millimeters and a maximum diameter of 0.0508 millimeters, grams",g,,version 1.0
xLS381,Local,diam_0.0385_0.0518mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0385 millimeters and a maximum diameter of 0.0518 millimeters, grams",g,,version 1.0
xLS382,Local,diam_0.0385_0.0533mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0385 millimeters and a maximum diameter of 0.0533 millimeters, grams",g,,version 1.0
xLS383,Local,diam_0.0385_0.0544mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0385 millimeters and a maximum diameter of 0.0544 millimeters, grams",g,,version 1.0
xLS384,Local,diam_0.0385_0.054mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0385 millimeters and a maximum diameter of 0.054 millimeters, grams",g,,version 1.0
xLS385,Local,diam_0.0385_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0385 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS386,Local,diam_0.0387_0.0544mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0387 millimeters and a maximum diameter of 0.0544 millimeters, grams",g,,version 1.0
xLS387,Local,diam_0.0412_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0412 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS388,Local,diam_0.0415_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0415 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS389,Local,diam_0.0442_0.0474mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0442 millimeters and a maximum diameter of 0.0474 millimeters, grams",g,,version 1.0
xLS390,Local,diam_0.0442_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0442 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS391,Local,diam_0.0474_0.0508mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0474 millimeters and a maximum diameter of 0.0508 millimeters, grams",g,,version 1.0
xLS392,Local,diam_0.0474_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0474 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS393,Local,diam_0.0474_0.067mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0474 millimeters and a maximum diameter of 0.067 millimeters, grams",g,,version 1.0
xLS394,Local,diam_0.048_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.048 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS395,Local,diam_0.0504_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0504 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS396,Local,diam_0.0508_0.0544mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0508 millimeters and a maximum diameter of 0.0544 millimeters, grams",g,,version 1.0
xLS397,Local,diam_0.0508_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0508 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS398,Local,diam_0.0515_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0515 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS399,Local,diam_0.0518_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0518 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS400,Local,diam_0.0533_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0533 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS401,Local,diam_0.054_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.054 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS402,Local,diam_0.0544_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0544 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS403,Local,diam_0.0544_0.067mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0544 millimeters and a maximum diameter of 0.067 millimeters, grams",g,,version 1.0
xLS404,Local,diam_0.06_0.09mm_g,"Soil classification, weight of sample having a minimum diameter of 0.06 millimeters and a maximum diameter of 0.09 millimeters, grams",g,,version 1.0
xLS405,Local,diam_0.06_0.13mm_g,"Soil classification, weight of sample having a minimum diameter of 0.06 millimeters and a maximum diameter of 0.13 millimeters, grams",g,,version 1.0
xLS406,Local,diam_0.0625_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0625 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS407,Local,diam_0.0625_0.0743mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0625 millimeters and a maximum diameter of 0.0743 millimeters, grams",g,,version 1.0
xLS408,Local,diam_0.0625_0.0884mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0625 millimeters and a maximum diameter of 0.0884 millimeters, grams",g,,version 1.0
xLS409,Local,diam_0.0625_0.13mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0625 millimeters and a maximum diameter of 0.13 millimeters, grams",g,,version 1.0
xLS410,Local,diam_0.067_0.0625mm_g,"Soil classification, weight of sample having a minimum diameter of 0.067 millimeters and a maximum diameter of 0.0625 millimeters, grams",g,,version 1.0
xLS411,Local,diam_0.0743_0.0884mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0743 millimeters and a maximum diameter of 0.0884 millimeters, grams",g,,version 1.0
xLS412,Local,diam_0.0769_0.0508mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0769 millimeters and a maximum diameter of 0.0508 millimeters, grams",g,,version 1.0
xLS413,Local,diam_0.0884_0.13mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0884 millimeters and a maximum diameter of 0.13 millimeters, grams",g,,version 1.0
xLS414,Local,diam_0.09_0.13mm_g,"Soil classification, weight of sample having a minimum diameter of 0.09 millimeters and a maximum diameter of 0.13 millimeters, grams",g,,version 1.0
xLS415,Local,diam_0.13_0.18mm_g,"Soil classification, weight of sample having a minimum diameter of 0.13 millimeters and a maximum diameter of 0.18 millimeters, grams",g,,version 1.0
xLS416,Local,diam_0.13_0.25mm_g,"Soil classification, weight of sample having a minimum diameter of 0.13 millimeters and a maximum diameter of 0.25 millimeters, grams",g,,version 1.0
xLS417,Local,diam_0.18_0.25mm_g,"Soil classification, weight of sample having a minimum diameter of 0.18 millimeters and a maximum diameter of 0.25 millimeters, grams",g,,version 1.0
xLS418,Local,diam_0.25_0.35mm_g,"Soil classification, weight of sample having a minimum diameter of 0.25 millimeters and a maximum diameter of 0.35 millimeters, grams",g,,version 1.0
xLS419,Local,diam_0.25_0.5mm_g,"Soil classification, weight of sample having a minimum diameter of 0.25 millimeters and a maximum diameter of 0.5 millimeters, grams",g,,version 1.0
xLS420,Local,diam_0.35_0.42mm_g,"Soil classification, weight of sample having a minimum diameter of 0.35 millimeters and a maximum diameter of 0.42 millimeters, grams",g,,version 1.0
xLS421,Local,diam_0.35_0.5mm_g,"Soil classification, weight of sample having a minimum diameter of 0.35 millimeters and a maximum diameter of 0.5 millimeters, grams",g,,version 1.0
xLS422,Local,diam_0.42_0.71mm_g,"Soil classification, weight of sample having a minimum diameter of 0.42 millimeters and a maximum diameter of 0.71 millimeters, grams",g,,version 1.0
xLS423,Local,diam_0.5_1mm_g,"Soil classification, weight of sample having a minimum diameter of 0.5 millimeters and a maximum diameter of 1 millimeters, grams",g,,version 1.0
xLS424,Local,diam_0.5_2.8mm_g,"Soil classification, weight of sample having a minimum diameter of 0.5 millimeters and a maximum diameter of 2.8 millimeters, grams",g,,version 1.0
xLS425,Local,diam_1.4_2mm_g,"Soil classification, weight of sample having a minimum diameter of 1.4 millimeters and a maximum diameter of 2 millimeters, grams",g,,version 1.0
xLS426,Local,diam_1.41_2mm_g,"Soil classification, weight of sample having a minimum diameter of 1.41 millimeters and a maximum diameter of 2 millimeters, grams",g,,version 1.0
xLS427,Local,diam_1_1.41mm_g,"Soil classification, weight of sample having a minimum diameter of 1 millimeters and a maximum diameter of 1.41 millimeters, grams",g,,version 1.0
xLS428,Local,diam_1_1.4mm_g,"Soil classification, weight of sample having a minimum diameter of 1 millimeters and a maximum diameter of 1.4 millimeters, grams",g,,version 1.0
xLS429,Local,diam_1_2mm_g,"Soil classification, weight of sample having a minimum diameter of 1 millimeters and a maximum diameter of 2 millimeters, grams",g,,version 1.0
xLS430,Local,diam_2.8_4mm_g,"Soil classification, weight of sample having a minimum diameter of 2.8 millimeters and a maximum diameter of 4 millimeters, grams",g,,version 1.0
xLS431,Local,diam_2.8mm_g,"Soil classification, weight of sample having a minimum diameter of 2.8 millimeters, grams",g,,version 1.0
xLS432,Local,diam_2.83_4mm_g,"Soil classification, weight of sample having a minimum diameter of 2.83 millimeters and a maximum diameter of 4 millimeters, grams",g,,version 1.0
xLS433,Local,diam_2_2.83mm_g,"Soil classification, weight of sample having a minimum diameter of 2 millimeters and a maximum diameter of 2.83 millimeters, grams",g,,version 1.0
xLS434,Local,diam_2_2.8mm_g,"Soil classification, weight of sample having a minimum diameter of 2 millimeters and a maximum diameter of 2.8 millimeters, grams",g,,version 1.0
xLS435,Local,diam_2_4mm_g,"Soil classification, weight of sample having a minimum diameter of 2 millimeters and a maximum diameter of 4 millimeters, grams",g,,version 1.0
xLS436,Local,diam_4mm_g,"Soil classification, weight of sample having a minimum diameter of 4 millimeters, grams",g,,version 1.0
xLS437,Local,11DiMeEtBz_mgL,"1,1,-Dimethylethyl benzene, water, filtered,  milligrams per liter",mg/L,`98-06-6,version 1.0
xLS438,Local,1Et2MeBz_mgL,"1-Ethyl-2-methyl benzene, water, filtered,  milligrams per liter",mg/L,`611-14-3,version 1.0
xLS439,Local,1Et2MeBz_mgL,"1-Ethyl-3-methyl benzene, water, filtered,  milligrams per liter",mg/L,`620-14-4,version 1.0
xLS440,Local,1Et4MeBz_mgL,"1-Ethyl-4-methyl benzene, water, filtered,  milligrams per liter",mg/L,`622-96-8,version 1.0
xLS441,Local,1MePrBz_mgL,"1-Methyl-propyl benzene, water, filtered,  milligrams per liter",mg/L,`99-87-6,version 1.0
xLS442,Local,2MePrBz_mgL,"2-Methyl-propyl benzene, water, filtered,  milligrams per liter",mg/L,`538-93-2,version 1.0
xLS443,Local,TotAlkylBz_mgL,"Total alkylbenzenes, water, filtered,  milligrams per liter",mg/L,,version 1.0
xLS444,Local,raw_tot_samp_wt_g,"Total oven-dried weight of all size fractions in a soil sample before sieving, grams",g,,version 1.0
xLO075,Local,acetic_acid_ugL,"Acetic Acid, unfiltered, micrograms per liter",ug/L,`64-19-7,version 2.0
xLO076,Local,propanoic_acid_ugL,"Propanoic Acid (Propionic Acid), unfiltered, micrograms per liter",ug/L,`79-09-4,version 2.0
xLO077,Local,isopentanoic_acid_ugL,"Isopentanoic Acid, unfiltered, micrograms per liter",ug/L,`78-78-4,version 2.0
xLO078,Local,heptanoic_acid_ugL,"Heptanoic Acid, unfiltered, micrograms per liter",ug/L,`142-82-5,version 2.0
xLO079,Local,phenol_ugL,"Phenol, unfiltered, micrograms per liter",ug/L,`108-95-2,version 2.0
xLO080,Local,cyclohexanoic_acid_ugL,"Cyclohexanoic Acid, unfiltered, micrograms per liter",ug/L,`110-87-7,version 2.0
xLO081,Local,butanoic_acid_ugL,"Butanoic Acid, unfiltered, micrograms per liter",ug/L,`107-92-6,version 2.0
xLO082,Local,x_x_DMe_cyclohexanoic_acid_ugL,"x,x-Dimethylcyclohexanoic Acid, unfiltered, micrograms per liter",ug/L,,version 2.0
xLO083,Local,o_toluic_acid_ugL,"o-Toluic Acid, unfiltered, micrograms per liter",ug/L,`118-90-1,version 2.0
xLO084,Local,m_or_p_toluic_acid_ugL,"m-Toluic Acid or p-Toluic Acid, unfiltered, micrograms per liter",ug/L,,version 2.0
xLO085,Local,m_and_p_MePh_acetic_acid_ugL,"meta and para-methylphenylacetic Acids, unfiltered, micrograms per liter",ug/L,,version 2.0
xLO086,Local,2_4_6_TMe_benzoic_acid_ugL,"2,4,6-Trimethylbenzoic Acid, unfiltered, micrograms per liter",ug/L,`480-63-7,version 2.0
xLO087,Local,2_4_5_TMe_benzoic_acid_ugL,"2,4,5-Trimethylbenzoic Acid, unfiltered, micrograms per liter",ug/L,`528-90-5,version 2.0
xLO088,Local,benzoic_acid_ugL,"Benzoic Acid, unfiltered, micrograms per liter",ug/L,`65-85-0,version 2.0
xLO089,Local,hydroquinone_ugL,"Hydroquinone, unfiltered, micrograms per liter",ug/L,`123-31-9,version 2.0
xLO090,Local,resorcinol_ugL,"Resorcinol, unfiltered, micrograms per liter",ug/L,`108-46-3,version 2.0
xLO091,Local,unk_aliphatics_ugL,"Unknown Aliphatics, unfiltered, micrograms per liter",ug/L,,version 2.0
xLO092,Local,unk_alicyclics_ugL,"Unknown Alicyclics, unfiltered, micrograms per liter",ug/L,,version 2.0
xLO093,Local,unk_aromatics_ugL,"Unknown Aromatics, unfiltered, micrograms per liter",ug/L,,version 2.0
xLO094,Local,2_Me_butanoic_acid_ugL,"2-methylbutanoic Acid, unfiltered, micrograms per liter",ug/L,`116-53-0,version 2.0
xLO095,Local,3_3_DMe_butanoic_acid_ugL,"3,3-Dimethylbutanoic Acid, unfiltered, micrograms per liter",ug/L,`1070-83-3,version 2.0
xLO096,Local,m_toluic_acid_ugL,"m-Toluic Acid, unfiltered, micrograms per liter",ug/L,`99-04-7,version 2.0
xLO097,Local,p_toluic_acid_ugL,"p-Toluic Acid, unfiltered, micrograms per liter",ug/L,`99-94-5,version 2.0
xLO098,Local,phenylacetic_acid_ugL,"Phenylacetic Acid, unfiltered, micrograms per liter",ug/L,`103-82-2,version 2.0
xLO099,Local,2_4_and_2_5_DMe_benzoic_acid_ugL,"2,4-and 2,5-Dimethylbenzoic Acid, unfiltered, micrograms per liter",ug/L,,version 2.0
xLO100,Local,2_6_DMe_benzoic_acid_ugL,"2,6-Dimethylbenzoic Acid, unfiltered, micrograms per liter",ug/L,`632-46-2,version 2.0
xLO101,Local,m_MePh_acetic_acid_ugL,"meta-methylphenylacetic Acid, unfiltered, micrograms per liter",ug/L,`621-36-3,version 2.0
xLO102,Local,p_MePh_acetic_acid_ugL,"para-methylphenylacetic Acid, unfiltered, micrograms per liter",ug/L,`622-47-9,version 2.0
xLO103,Local,3_4_DMe_benzoic_acid_ugL,"3,4-Dimethylbenzoic Acid, unfiltered, micrograms per liter",ug/L,`619-04-5,version 2.0
xLO104,Local,isobutanoic_acid_ugL,"isobutanoic acid (also known as isobutyric acid), unfiltered, micrograms per liter",ug/L,`79-31-2,version 2.0
xLO105,Local,pentanoic_acid_ugL,"pentanoic acid (also known as n-valeric acid), unfiltered, micrograms per liter",ug/L,`109-52-4,version 2.0
x54151,NWIS,methane_soilgas_volpct,"Methane, soil gas, uncorrected for temperature and pressure, percent of soil gas",% by vol,`74-82-8,version 3.0
x54152,NWIS,oxygen_soilgas_uncorr_volpct,"Oxygen, soil gas, uncorrected for temperature and pressure, percent of soil gas",% by vol,`7782-44-7,version 3.0
x54153,NWIS,CO2_soilgas_uncorr_volpct,"Carbon dioxide, soil gas, uncorrected for temperature and pressure, percent of soil gas",% by vol,`124-38-9,version 3.0
x54154,NWIS,O2_Ar_soilgas_volpct,"Oxygen plus argon, soil gas, uncorrected for temperature and pressure, percent of soil gas",% by vol,`7782-44-7,version 3.0
x54155,NWIS,dinitrogen_soilgas_volpct,"Dinitrogen, soil gas, uncorrected for temperature and pressure, percent of soil gas",% by vol,`7727-37-9,version 3.0
x54156,NWIS,argon_soilgas_volpct,"Argon, soil gas, uncorrected for temperature and pressure, percent of soil gas",% by vol,`7440-37-1,version 3.0
x54157,NWIS,oxygen_soilgas_corr_volpct,"Oxygen, soil gas, corrected for temperature and pressure, percent of soil gas",% by vol,`7782-44-7,version 3.0
x54158,NWIS,CO2_soilgas_corr_volpct,"Carbon dioxide, soil gas, corrected for temperature and pressure, percent of soil gas",% by vol,`124-38-9,version 3.0
x54159,NWIS,CO2_efflux_soilgas_umolm2s,"Carbon dioxide efflux, soil gas, micromoles of carbon dioxide per square meter per second",umol/m2/s,,version 3.0
x62607,NWIS,atmos_press_uncorr_kpa,"Barometric pressure, uncorrected, kilopascals",kPa,,version 3.0
x72166,NWIS,raw_sensor_val_mv,"Raw sensor value, millivolts",mv,,version 3.0
x72176,NWIS,temp_sensor_C,"Temperature of sensor, degrees Celsius",deg C,,version 3.0
x72205,NWIS,cond_bulk_dSm,"Bulk electrical conductance, soil, decisiemens per meter",dS/m,,version 3.0
x72259,NWIS,dielectric_perm,"Dielectric permittivity, soil, in situ",none,,version 3.0
x74207,NWIS,soil_moisture_volpct,"Moisture content, soil, volumetric, percent of total volume",% by vol,,version 3.0
x81027,NWIS,temp_soil_C,"Temperature, soil, degrees Celsius",deg C,,version 3.0
x99263,NWIS,volt_ratio,"Voltage ratio, voltage of transmitted electromagnetic pulse divided by the voltage of the returned pulse",ratio,,version 3.0
x99163,NWIS,cond_stdrd_lotno,"Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD",nu,,version 3.0
x00032,NWIS,cloud_cvr_pct,"Cloud cover, percent",%,,version 3.0
x00035,NWIS,wind_spd_mph,"Wind speed, miles per hour",mph,,version 3.0
x00041,NWIS,weather_wmo_code,"Weather, World Meteorological Code (WMO) code",WMO code,,version 3.0
x00098,NWIS,smpling_dep_m,"Sampling depth, meters",m,,version 3.0
x72053,NWIS,days_last_precip,Number of days since last precipitation event,days,,version 3.0
x72104,NWIS,smp_loc_dwnstrm_ft,"Sample location, distance downstream, feet",ft,,version 3.0
x72105,NWIS,smp_loc_upstrm_ft,"Sample location, distance upstream, feet",ft,,version 3.0
x78890,NWIS,smpling_dep_ftMSL,"Sampling depth, feet below mean sea level",ft,,version 3.0
x81904,NWIS,velo_pt_strm_fps,"Velocity at piont in stream, feet per second",fps,,version 3.0
