meth_cd,meth_cd_ref,meth_cd_descript,meth_cd_pub,version_when_added
xLOIL1,LOCAL,Gravitimetric technique used to measure oil and water content using porous polyethlyene extraction.,"Hess, K.M., Herkelrath, W.N., and Essaid, H.I., 1992, Determination of subsurface fluid contents at a crude-oil spill site: Journal of Contaminant Hydrology, v. 10, pp. 75-96. ",version 1.0
xLSBW1,LOCAL,hydraulic conductivity via pneumatic method slug test and analyzed via Bouwer and Rice straight-line method,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",version 1.0
xLSBW2,LOCAL,hydraulic conductivity via packer/vacuum system method slug test and analyzed via Bouwer and Rice straight line method,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",version 1.0
xLSGS1,LOCAL,"Total weight of sediment, oven dried","Hess, K.M., Herkelrath, W.N., and Essaid, H.I., 1992, Determination of subsurface fluid contents at a crude-oil spill site: Journal of Contaminant Hydrology, v. 10, pp. 75-96. ",version 1.0
xLSGS2,LOCAL,Grain size distribution via sieve analysis-ASTM,"ASTM C136/C136M-14, 2014, Standard test method for sieve analysis of fine and coarse aggregates, ASTM International, West Conshohocken, PA.",version 1.0
xLSGS3,LOCAL,Grain size distribution via hydrometer analysis,"ASTM D422-63, 2007, Standard test method for particle-size analysis of soils, ASTM International, West Conshohocken, PA.",version 1.0
xLSOD1,LOCAL,Soil is oven dried and weighed to determined oven dry soil weight.,"Hess, K.M., Herkelrath, W.N., and Essaid, H.I., 1992, Determination of subsurface fluid contents at a crude-oil spill site: Journal of Contaminant Hydrology, v. 10, pp. 75-96. ",version 1.0
xLC008,LOCAL,"Elements, water, filtered, syringe filtration and inductively coupled plasma mass spectrometry, may be comparable to  NWIS method code PLM79","Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",version 1.0
xPROBE,NWIS,"pH, field,  electrometric","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xTHM02,NWIS,"Temperature, water, liquid-in-glass thermometer","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
