LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,MeasuringPointElevation_mASL_NAVD88,well_MP_height_m,LandSurfaceElevation_mASL_NAVD88,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,ScreenLength_m,MidOfScreenElevation_mASL_NAVD88,TotalWellDepth_mBLS,TotalBoring/DrillingDepth_mBLS,DiameterOfDrillHole_cm,WellCasingInnerDiameter_cm,OpeningTypeDescription,WidthOfOpeningsInOpenInterval_cm,CasingMaterialDescription,ScreenMaterialDescription,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,Comments_Miscellaneous,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x319,Bemidji,wo,subsurface oil- and groundwater observation well,x473425095052504,319       147N35W02CDAC  01,342790.3,5271037.68,1.0,-3.09,431.487,0.805,430.682,424.342,422.818,1.524,423.58,8.321,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19830701.0,estimated date,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x401,Bemidji,ww,groundwater observation well,x473414095053601,401       147N35W11BABC  01,342542.49,5270674.33,0.0,,431.344,0.966,430.378,424.943,423.419,1.524,424.181,7.544,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840508.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x402,Bemidji,ww,groundwater observation well,x473405095060101,402       147N35W10ADAB  01,342018.76,5270417.32,0.0,,428.064,0.43,427.634,425.933,424.409,1.524,425.171,3.77,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840508.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x403,Bemidji,ww,groundwater observation well,x473416095060801,403       147N35W10AABA  01,341883.62,5270789.74,0.0,,430.503,0.735,429.768,427.153,425.629,1.524,426.391,4.465,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840508.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x404,Bemidji,ww,groundwater observation well,x473419095062401,404       147N35W03DCDC  01,341554.67,5270883.35,0.0,,431.06,1.292,429.768,426.79,425.266,1.524,426.028,4.953,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840508.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x405A,Bemidji,ww,groundwater observation well,x473418095055601,405A      147N35W02CCCC  01,342139.09,5270841.19,0.0,,430.939,0.561,430.378,425.91,424.386,1.524,425.148,6.239,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840510.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x405B,Bemidji,ww,groundwater observation well,x473418095055602,405B      147N35W02CCCC  01,342139.09,5270841.19,0.0,,431.0,0.622,430.378,417.131,416.522,0.609,416.826,14.676,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840716.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x405C,Bemidji,ww,groundwater observation well,x473418095055603,405C      147N35W02CCCC  01,342139.09,5270841.19,0.0,,430.811,0.433,430.378,424.41,423.8,0.61,424.105,7.367,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840716.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x405D,Bemidji,ww,groundwater observation well,x473418095055604,405D      147N35W02CCCC  01,342139.09,5270841.19,0.0,,430.835,0.457,430.378,421.237,420.704,0.533,420.97,10.641,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840719.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x405E,Bemidji,ww,groundwater observation well,x473418095055605,405E      147N35W02CCCC  01,342139.09,5270841.19,0.0,,430.64,0.262,430.378,404.732,404.123,0.609,404.428,26.137,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19860710.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x406,Bemidji,ww,groundwater observation well,x473424095061601,406       147N35W03DCDA  01,341722.47,5271031.39,0.0,,431.783,0.796,430.987,426.452,424.928,1.524,425.69,6.925,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840619.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x407,Bemidji,ww,groundwater observation well,x473430095061401,407       147N35W03DDBB  01,341770.93,5271220.32,0.0,,432.719,0.817,431.902,426.321,424.797,1.524,425.559,7.934,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840619.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x408,Bemidji,ww,groundwater observation well,x473427095055701,408       147N35W02CCBC  01,342133.09,5271102.59,0.0,,433.072,0.561,432.511,425.604,424.08,1.524,424.842,9.037,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840619.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x409,Bemidji,ww,groundwater observation well,x473404095054101,409       147N35W11BCAB  01,342437.61,5270398.26,0.0,,429.046,0.802,428.244,425.848,424.324,1.524,425.086,3.697,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840619.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x410,Bemidji,ww,groundwater observation well,x473411095062901,410       147N35W10ABCA  01,341442.62,5270641.37,0.0,,428.53,0.896,427.634,425.33,423.806,1.524,424.568,4.602,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840619.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x411,Bemidji,wo,subsurface oil- and groundwater observation well,x473425095052605,411       147N35W02CDAC  01,342778.77,5271042.29,1.0,-5.58,431.372,0.994,430.378,424.928,423.404,1.524,424.166,7.626,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840620.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x412,Bemidji,ww,groundwater observation well,x473433095060101,412       147N35W03DADD  01,342057.16,5271284.34,0.0,,435.748,1.103,434.645,425.074,423.55,1.524,424.312,11.198,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840621.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x413,Bemidji,ww,groundwater observation well,x473435095061501,413       147N35W03DACB  01,341784.21,5271336.83,0.0,,433.684,1.173,432.511,426.214,424.69,1.524,425.452,8.626,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840621.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x414,Bemidji,ww,groundwater observation well,x473418095052901,414       147N35W11BABA  01,342685.97,5270791.26,0.0,,431.538,0.856,430.682,425.18,423.656,1.524,424.418,7.437,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840621.0,,USGS MN Water Science Center,Unknown,"Near wetland, south pool",Active,,
x415,Bemidji,ww,groundwater observation well,x473431095053701,415       147N35W02CCAA  01,342530.08,5271200.57,0.0,,434.416,0.686,433.73,425.875,424.351,1.524,425.113,11.214,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840621.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Removed,Removed by Enbridge for the Alberta Clipper install,2009
x416,Bemidji,ww,groundwater observation well,x473426095052203,416       147N35W02CDAD 01              0000273826,342859.63,5271070.5,1.0,79.77,434.166,1.045,433.121,424.599,423.075,1.524,423.837,10.317,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840628.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x417A,Bemidji,ww,groundwater observation well,x473425095052010,417A      147N35W02CDAD 01              0000273827,342902.24,5271033.47,0.0,,432.551,0.649,431.902,416.394,415.784,0.61,416.089,16.648,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840717.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x417B,Bemidji,ww,groundwater observation well,x473426095051903,417B      147N35W02CDAD  03,342900.61,5271033.58,0.0,,432.755,0.549,432.206,419.825,419.215,0.61,419.52,13.521,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840718.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x417C,Bemidji,ww,groundwater observation well,x473425095052011,417C      147N35W02CDAD  01,342899.05,5271033.63,0.0,,432.77,0.564,432.206,425.342,423.818,1.524,424.58,9.589,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840718.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x417D,Bemidji,ww,groundwater observation well,x473425095052012,417D      147N35W02CDAD  01,342901.4,5271032.2,0.0,,432.627,0.725,431.902,423.026,422.417,0.609,422.722,10.177,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840718.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x417E,Bemidji,ww,groundwater observation well,x473425095052013,417E      147N35W02CDAD  01,342898.99,5271037.25,0.0,,433.242,1.036,432.206,421.063,420.453,0.61,420.758,12.286,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19841017.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x417F,Bemidji,ww,groundwater observation well,x473425095052014,417F      147N35W02CDAD  01,342903.67,5271033.91,0.0,,432.414,0.512,431.902,422.813,422.66,0.153,422.736,8.382,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19910501.0,estimated date,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x418A,Bemidji,ww,groundwater observation well,x473425095052101,418A      147N35W02CDAD  01,342872.51,5271036.6,0.0,,433.669,0.853,432.816,416.601,415.991,0.61,416.296,17.456,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840718.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x418B,Bemidji,ww,groundwater observation well,x473425095052102,418B      147N35W02CDAD  01,342871.31,5271036.78,0.0,,433.474,0.658,432.816,420.139,419.53,0.609,419.834,13.917,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840718.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x418C,Bemidji,ww,groundwater observation well,x473425095052103,418C      147N35W02CDAD  01,342871.77,5271035.55,0.0,,432.688,0.177,432.511,423.016,422.407,0.609,422.712,10.238,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840718.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x418D,Bemidji,ww,groundwater observation well,x473425095052201,418D      147N35W02CDAD  01,342870.05,5271036.72,0.0,,433.264,0.448,432.816,424.73,423.206,1.524,423.968,9.696,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19841016.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x418E,Bemidji,ww,groundwater observation well,x473425095052104,418E      147N35W02CDAD  01,342874.19,5271036.21,0.0,,433.432,0.616,432.816,423.395,423.242,0.153,423.318,10.0,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19910501.0,estimated date,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x419A,Bemidji,ww,groundwater observation well,x473426095052101,"419A near Bemidji, MN.",342845.75,5271039.55,0.0,,432.968,0.457,432.511,422.91,422.3,0.61,422.605,10.808,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840719.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x419B,Bemidji,ww,groundwater observation well,x473425095052301,419B      147N35W02CDAC  01,342843.96,5271039.69,0.0,,433.179,0.363,432.816,420.313,419.704,0.609,420.008,13.649,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840719.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x419C,Bemidji,ww,groundwater observation well,x473425095052302,419C      Bemidji Toxics Research Site,342842.71,5271039.74,0.0,,433.389,0.573,432.816,424.855,423.331,1.524,424.093,10.113,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19841016.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x419R,Bemidji,ww,groundwater observation well,x473425095052303,419R      147N35W02CDAC  01,342842.24,5271041.58,0.0,,433.325,0.509,432.816,421.465,421.237,0.228,421.351,11.671,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,,Installation date unknown,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x420A,Bemidji,wo,subsurface oil- and groundwater observation well,x473426095052419,420A      147N35W02CDAC  01,342817.26,5271043.53,1.0,30.11,432.923,0.107,432.816,424.321,422.797,1.524,423.559,10.47,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840701.0,estimated date,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x420B,Bemidji,ww,groundwater observation well,x473426095052405,420B      147N35W02CDAC  01,342818.83,5271043.13,1.0,31.38,433.234,0.418,432.816,420.334,419.725,0.609,420.03,13.548,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840701.0,estimated date,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x420C,Bemidji,ww,groundwater observation well,x473426095052406,420C      147N35W02CDAC  01,342820.25,5271043.01,1.0,32.63,433.167,0.351,432.816,416.939,416.329,0.61,416.634,16.947,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840701.0,estimated date,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x420D,Bemidji,wo,subsurface oil- and groundwater observation well,x473426095052407,420D      147N35W02CDAC  01,342816.0,5271043.51,1.0,28.95,433.285,0.469,432.816,424.781,423.257,1.524,424.019,10.055,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19841017.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x421A,Bemidji,wo,subsurface oil- and groundwater observation well,x473425095052610,421A      147N35W02CDAC  01,342785.64,5271040.57,1.0,0.0,431.161,0.479,430.682,422.839,421.52,1.319,422.18,9.623,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840501.0,estimated date,USGS MN Water Science Center,Unknown,Zero point for distance calculations,Active,,
x421B,Bemidji,wo,subsurface oil- and groundwater observation well,x473425095052611,421B      147N35W02CDAC  01,342784.94,5271040.07,1.0,-0.84,431.052,0.674,430.378,424.956,423.432,1.524,424.194,7.522,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19870529.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x422,Bemidji,wo,subsurface oil- and groundwater observation well,x473426095052610,422       147N35W02CDAC  01,342776.59,5271045.35,1.0,-6.34,430.61,0.232,430.378,425.059,423.535,1.524,424.297,7.3,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19840501.0,estimated date,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x423,Bemidji,wo,subsurface oil- and groundwater observation well,x473426095052402,423       147N35W02CDAC  02,342805.86,5271043.09,1.0,19.51,433.325,0.814,432.511,424.79,423.266,1.524,424.028,9.601,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19841016.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x426,Bemidji,ww,groundwater observation well,x473358095061401,426       147N35W10ADCB  01,341759.5,5270225.09,0.0,,426.415,0.914,425.501,425.477,424.562,0.915,425.02,0.985,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19841017.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x427,Bemidji,ww,groundwater observation well,x473440095063001,427       147N35W03DBBD  01,341455.97,5271518.32,0.0,,432.475,0.573,431.902,431.567,430.652,0.915,431.11,1.228,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19841017.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x501A,Bemidji,ww,groundwater observation well,x473428095050802,501A      147N35W02DCAB  01,343161.77,5271119.45,1.0,375.83,424.754,1.387,423.367,410.413,409.651,0.762,410.032,14.78,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19850228.0,,USGS MN Water Science Center,Unknown,In Unamed lake,Active,,
x501B,Bemidji,ww,groundwater observation well,x473428095050803,501B      147N35W02DCAB  01,343161.21,5271119.02,1.0,375.15,424.812,1.445,423.367,411.937,411.175,0.762,411.556,13.207,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19850228.0,,USGS MN Water Science Center,Unknown,In Unamed lake,Unknown,well could not be located,unknown
x501C,Bemidji,ww,groundwater observation well,x473429095050703,501C 147N35W02DCAB 03,343160.47,5271118.74,1.0,374.36,424.623,1.256,423.367,419.252,418.49,0.762,418.871,5.782,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19850228.0,,USGS MN Water Science Center,Unknown,In Unamed lake,Active,,
x501Lake,Bemidji,l,lake water-level observation,x473428095050801,"UNNAMED LAKE, W. SIDE, AT RAFT, SE OF PINEWOOD, MN",343160.5,5271118.6,1.0,374.33,425.946,2.579,423.367,,,,,,,,,,,,,,,USGS MN Water Science Center,Not applicable,,Active,,
x502,Bemidji,ww,groundwater observation well,x473433095060102,502       147N35W03DADD  01,342057.16,5271284.34,0.0,,435.325,0.68,434.645,409.804,409.194,0.61,409.499,26.819,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19850514.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x503,Bemidji,ww,groundwater observation well,x473413095053701,503       147N35W11BABC 01              0000273828,342544.16,5270675.61,0.0,,431.158,0.78,430.378,407.728,405.9,1.828,406.814,26.71,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19850515.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x504,Bemidji,ww,groundwater observation well,x473413095053702,504       147N35W11BABC  01,342544.41,5270673.16,0.0,,431.079,0.701,430.378,420.463,419.853,0.61,420.158,11.808,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19850515.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Active,,
x505,Bemidji,ww,groundwater observation well,x473430095053801,505       147N35W02CCAA 01              0000273829,342531.72,5271198.97,0.0,,434.879,1.149,433.73,415.216,414.607,0.609,414.912,20.001,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19850517.0,,USGS MN Water Science Center,Unknown,"Upgradient, background",Removed,Removed by Enbridge for the Alberta Clipper install,2009
x506,Bemidji,ww,groundwater observation well,x473428095052201,506       147N35W02CDAD  01,342847.08,5271095.87,0.0,,433.386,0.57,432.816,425.114,423.59,1.524,424.352,9.833,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850606.0,,USGS MN Water Science Center,Unknown,NW of north pool transect,Active,,
x507,Bemidji,ww,groundwater observation well,x473427095052303,507       147N35W02CDAC  01,342830.99,5271082.39,0.0,,433.478,0.357,433.121,424.212,422.688,1.524,423.45,10.729,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850606.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x508,Bemidji,ww,groundwater observation well,x473428095052202,508       147N35W02CDAD  01,342863.8,5271109.6,0.0,,431.261,0.579,430.682,424.556,423.032,1.524,423.794,8.239,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850606.0,,USGS MN Water Science Center,Unknown,NW of north pool transect,Active,,
x509,Bemidji,ww,groundwater observation well,x473427095052106,509       147N35W02CDAD  01,342874.14,5271095.22,0.0,,432.907,0.396,432.511,425.077,423.553,1.524,424.315,9.936,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19880607.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x510,Bemidji,ww,groundwater observation well,x473427095052107,510       147N35W02CDAD  01,342880.87,5271084.26,1.0,104.77,433.368,0.247,433.121,424.416,423.096,1.32,423.756,10.881,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850607.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x511,Bemidji,ww,groundwater observation well,x473426095052001,511       147N35W02CDAD  01,342892.12,5271058.31,0.0,,433.163,0.347,432.816,424.355,422.831,1.524,423.593,9.205,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850607.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x512,Bemidji,ww,groundwater observation well,x473426095052204,512       147N35W02CDAD  01,342865.36,5271054.78,0.0,,433.24,0.424,432.816,424.416,422.892,1.524,423.654,10.122,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850607.0,,USGS MN Water Science Center,Unknown,SW of North pool transect,Active,,
x513,Bemidji,ww,groundwater observation well,x473427095052101,"513 near Bemidji, MN.",342858.13,5271069.77,1.0,78.1,433.465,0.344,433.121,424.27,422.95,1.32,423.61,10.631,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850610.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x514,Bemidji,ww,groundwater observation well,x473427095052209,514       147N35W02CDAD  01,342852.45,5271082.42,0.0,,433.484,0.058,433.426,424.517,422.993,1.524,423.755,10.964,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850610.0,,USGS MN Water Science Center,Unknown,NW of north pool transect,Active,,
x515A,Bemidji,ww,groundwater observation well,x473428095051911,515A      147N35W02CDAD  11,342910.62,5271096.38,1.0,136.87,433.932,0.506,433.426,424.188,422.868,1.32,423.528,11.015,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850611.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x515B,Bemidji,ww,groundwater observation well,x473428095051902,"515B near Bemidji, MN.",342909.5,5271096.05,1.0,135.72,433.99,0.564,433.426,421.204,420.664,0.54,420.934,12.735,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850612.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x515C,Bemidji,ww,groundwater observation well,x473428095051903,"515C near Bemidji, MN.",342906.6,5271094.65,1.0,132.5,433.965,0.539,433.426,423.947,423.407,0.54,423.677,10.631,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19950701.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x515D,Bemidji,ww,groundwater observation well,x473428095051904,"515D near Bemidji, MN.",342907.78,5271095.08,1.0,133.75,433.993,0.567,433.426,420.545,420.006,0.539,420.276,14.033,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19950701.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x515E,Bemidji,ww,groundwater observation well,x473428095051905,"515E near Bemidji, MN.",342905.86,5271094.32,1.0,131.69,434.331,0.905,433.426,419.832,419.591,0.241,419.712,13.935,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20070720.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x516,Bemidji,ww,groundwater observation well,x473427095051902,516       147N35W02CDAD  02,342909.1,5271079.64,0.0,,434.263,0.533,433.73,424.205,422.681,1.524,423.443,11.5,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850611.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x517,Bemidji,ww,groundwater observation well,x473428095051906,517       147N35W02CDAD  06,342892.89,5271102.76,0.0,,433.029,0.823,432.206,424.799,423.275,1.524,424.037,9.397,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850612.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x518A,Bemidji,ww,groundwater observation well,x473427095052301,"518A near Bemidji, MN.",342839.63,5271059.13,1.0,56.88,433.523,0.402,433.121,424.705,423.386,1.319,424.046,10.293,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850612.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x518B,Bemidji,ww,groundwater observation well,x473426095052310,518B      147N35W02CDAC  01,342838.59,5271058.58,1.0,55.71,433.874,0.753,433.121,422.517,422.365,0.152,422.441,10.881,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19960812.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x518G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052311,518G-01   Bemidji Toxics Research Site,342840.39,5271059.45,1.0,57.7,433.118,0.0,433.118,426.632,426.601,0.031,426.616,6.517,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,USGS MN Water Science Center,,North pool transect,Active,,
x519,Bemidji,ww,groundwater observation well,x473427095052206,519       147N35W02CDAC  06,342834.54,5271067.85,1.0,55.76,433.542,0.421,433.121,424.55,423.026,1.524,423.788,10.314,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850613.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x520,Bemidji,ww,groundwater observation well,x473426095052408,520       147N35W02CDAC  01,342824.0,5271059.14,1.0,42.59,433.49,0.369,433.121,424.081,422.557,1.524,423.319,10.232,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850613.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x521,Bemidji,wo,subsurface oil- and groundwater observation well,x473426095052501,521       147N35W02CDAC  01,342798.86,5271058.63,0.0,,432.56,0.354,432.206,424.47,422.946,1.524,423.708,9.302,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,19850613.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
