LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,MeasuringPointElevation_mASL_NAVD88,well_MP_height_m,LandSurfaceElevation_mASL_NAVD88,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,ScreenLength_m,MidOfScreenElevation_mASL_NAVD88,TotalWellDepth_mBLS,TotalBoring/DrillingDepth_mBLS,DiameterOfDrillHole_cm,WellCasingInnerDiameter_cm,OpeningTypeDescription,WidthOfOpeningsInOpenInterval_cm,CasingMaterialDescription,ScreenMaterialDescription,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,Comments_Miscellaneous,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x1427,Bemidji,ww,groundwater observation well,x473419095052302,1427      147N35W02CDDC 01              0000786134,342818.74,5270847.46,0.0,,427.155,1.045,426.11,424.626,423.166,1.46,423.896,3.06,3.566,21.0,5.0,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20141027.0,,USGS MN Water Science Center,B. Mason; A. Berg,Located near 1426 well.,Active,,
x1428,Bemidji,wo,subsurface oil- and groundwater observation well,x473419095052402,1428      147N35W02CDDC 01              0000786133,342807.92,5270871.72,0.0,,426.945,0.835,426.11,424.705,423.245,1.46,423.975,2.981,3.658,21.0,5.0,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20141028.0,,USGS MN Water Science Center,B. Mason; A. Berg,Located near 312 well.,Active,,
x1429,Bemidji,wo,subsurface oil- and groundwater observation well,x473420095052301,1429      147N35W02CDDC 01              0000786132,342814.32,5270875.34,0.0,,427.284,0.869,426.415,424.54,421.602,2.938,423.071,4.654,5.029,21.0,5.0,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20141029.0,,USGS MN Water Science Center,B. Mason; A. Berg,Located near 312 well.,Active,,
x1430,Bemidji,ww,groundwater observation well,x473419095052301,1430      147N35W02CDDC 01              0000786131,342825.28,5270850.88,0.0,,427.25,0.835,426.415,424.44,422.98,1.46,423.71,3.551,3.962,21.0,5.0,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20141029.0,,USGS MN Water Science Center,B. Mason; A. Berg,Located near 1427 well.,Active,,
x1431,Bemidji,ww,groundwater observation well,x473417095052101,1431      147N35W11BAAA 01              0000786136,342873.24,5270806.53,0.0,,427.668,1.253,426.415,423.041,422.952,0.089,422.996,3.539,3.539,2.1,2.1,Mesh screen,0.025,Stainless Steel,Stainless Steel,20141030.0,,USGS MN Water Science Center,B. Mason,80 yards SE of well 526,Active,,
x15LK.C,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),,,343119.57,5271132.42,1.0,342.51,,,422.898,,,,,,1.049,,,,,,,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,in Unnamed Lake,Removed,temporary installation,October 2015
x15LK.I,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),,,343186.92,5271260.33,0.0,,,,422.846,,,,,,1.015,,,,,,,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,in Unnamed Lake,Removed,temporary installation,October 2015
x15LK.Q,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),,,343174.3,5270895.55,0.0,,,,422.837,,,,,,1.195,,,,,,,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,in Unnamed Lake,Removed,temporary installation,October 2015
x15LK.S5,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),,,343117.87,5271083.42,0.0,,,,422.864,,,,,,1.033,,,,,,,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,in Unnamed Lake,Removed,temporary installation,October 2015
x15LK.S6,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),,,343145.22,5271004.58,0.0,,,,422.95,,,,,,0.969,,,,,,,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,in Unnamed Lake,Removed,temporary installation,October 2015
x301A,Bemidji,wo,subsurface oil- and groundwater observation well,x473426095052526,301A      147N35W02CDAC  26,342781.07,5271045.79,1.0,-2.06,431.195,0.305,430.89,424.855,423.331,1.524,424.093,8.187,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,Steel-Galvanized,Steel-Galvanized,19830521.0,,USGS MN Water Science Center,Unknown,North pool transect,Active,,
x301G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052609,301G-01   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,423.635,423.605,0.03,423.62,7.016,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,USGS MN Water Science Center,,North pool transect,Active,,
