LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
xTG1627,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,342823.12,5271070.55,,,433.038,0.0,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",USGS MN Water Science Center,Not applicable,unsaturated zone thermal gradient,"Location where thermal gradient between 0.5 and 1.0 m BLS was measured, hole backfilled after measurements taken, no equipment left in ground",,
xTG1620,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,342836.86,5271072.97,,,433.171,0.0,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",USGS MN Water Science Center,Not applicable,unsaturated zone thermal gradient,"Location where thermal gradient between 0.5 and 1.0 m BLS was measured, hole backfilled after measurements taken, no equipment left in ground",,
xTG1634,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,342829.13,5271014.17,,,432.156,0.0,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",USGS MN Water Science Center,Not applicable,unsaturated zone thermal gradient,"Location where thermal gradient between 0.5 and 1.0 m BLS was measured, hole backfilled after measurements taken, no equipment left in ground",,
x1612,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342665.99,5271002.02,,,430.893,0.091,20160809,,USGS MN Water Science Center,B. Mason; J.W. Lund,Evaluation of water repellency reduction methods and groundwater recharge distribution,10 ft section of 2-inch dia. schedule 40 PVC pipe open at bottom with no screen in unsaturated zone.  PVC coupling installed by J. Nieber near land surface to temporarily decrease stickup length when doing neutron probe measurements.,Casing depth and stickup lengths are approximate.,
xF1402G,Bemidji,scf,soil CO2 efflux collar,,,342812.2,5271045.7,,,432.797,0.0,20160806,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",, record added by A. Witt on 4/10/17
x1514,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342668.25,5270967.83,,,431.919,0.975,20150814,,USGS MN Water Science Center,B. Mason. E. Smith; A. Berg,Testing of soil remediation/rehabilitation technologies within the spray zone,"Installed 2-inch PVC well casing in hole, after coring was complete. No well screen installed. Capped bottom. Used for soil moisture measurements.","There is likely an area of open space between the bottom of the PVC casing and the bottom of the cored hole, since casing wasn't able to be lowered all the way to the bottom of the hole.",
x1515,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342656.9,5270961.69,,,432.3,0.594,20150814,,USGS MN Water Science Center,B. Mason. E. Smith; A. Berg,Testing of soil remediation/rehabilitation technologies within the spray zone,"Installed 2-inch PVC well casing in hole, after coring was complete. No well screen installed. Capped bottom. Used for soil moisture measurements.","There is likely an area of open space between the bottom of the PVC casing and the bottom of the cored hole, since casing wasn't able to be lowered all the way to the bottom of the hole.",
x1516,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342681.58,5270973.96,,,431.543,0.634,20150814,,USGS MN Water Science Center,B. Mason. E. Smith; A. Berg,Testing of soil remediation/rehabilitation technologies within the spray zone,"Installed 2-inch PVC well casing in hole, after coring was complete. No well screen installed. Capped bottom. Used for soil moisture measurements.","There is likely an area of open space between the bottom of the PVC casing and the bottom of the cored hole, since casing wasn't able to be lowered all the way to the bottom of the hole.",
x1517,Bemidji,sm,"2"" PVC casing in unsaturated zone for neutron probe soil moisture measurements",,,342694.47,5270981.49,,,431.558,0.844,20150814,,USGS MN Water Science Center,B. Mason. E. Smith; A. Berg,Testing of soil remediation/rehabilitation technologies within the spray zone,"Installed 2-inch PVC well casing in hole, after coring was complete. No well screen installed. Capped bottom. Used for soil moisture measurements.","There is likely an area of open space between the bottom of the PVC casing and the bottom of the cored hole, since casing wasn't able to be lowered all the way to the bottom of the hole.",
x15seis1.27,Bemidji,ss,seismic survey blast point,,,342808.71,5271028.11,,,431.91,0.0,,,USGS MN Water Science Center,Not applicable,,,,
