LocalSiteName,StudySite,AgencyCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,LandSurfaceElevation_mASL_NAVD88,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,WellSite,CoreSite,OtherEquipmentSite,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,MidOfScreenElevation_mASL_NAVD88,DateOfConstruction,Comments_DateOfConstruction,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x15-N42,Bemidji,USGS,,,342477.53,5271149.43,433.048,,,0,1,0,,,,,,Active,,
x15-N43,Bemidji,USGS,,,342502.03,5271185.2,433.29,,,0,1,0,,,,,,Active,,
x15-N44,Bemidji,USGS,,,342496.49,5271179.95,433.481,,,0,1,0,,,,,,Active,,
x15-N45,Bemidji,USGS,,,342490.35,5271175.14,433.565,,,0,1,0,,,,,,Active,,
x1510,Bemidji,USGS,,,342816.49,5270849.58,425.812,,,0,1,0,,,,20150813,,Active,,
x1511,Bemidji,USGS,,,342890.76,5271083.05,433.276,1.0,113.32,0,1,0,,,,20150813,,Active,,
x1512,Bemidji,USGS,,,342669.49,5270967.86,431.897,,,0,1,0,,,,20150812,,Active,,
x1513,Bemidji,USGS,,,342670.07,5270967.06,431.874,,,0,1,0,,,,20150814,,Active,,
x1514,Bemidji,USGS,,,342668.25,5270967.83,431.919,,,0,1,1,,,,20150814,,Active,,
x1515,Bemidji,USGS,,,342656.9,5270961.69,432.3,,,0,1,1,,,,20150814,,Active,,
x1516,Bemidji,USGS,,,342681.58,5270973.96,431.543,,,0,1,1,,,,20150814,,Active,,
x1517,Bemidji,USGS,,,342694.47,5270981.49,431.558,,,0,1,1,,,,20150814,,Active,,
x1518,Bemidji,USGS,,,342817.68,5270849.5,425.928,,,0,1,0,,,,20150813,,Active,,
x1519,Bemidji,USGS,,,342656.59,5270961.68,432.325,,,0,1,0,,,,20150814,,Active,,
x1520,Bemidji,USGS,,,342669.34,5270967.42,431.873,,,0,1,0,,,,20150814,,Active,,
x1521,Bemidji,USGS,,,342832.42,5271052.98,432.856,1.0,47.8,0,1,0,,,,20150817,,Active,,
x1522,Bemidji,USGS,,,342808.86,5271044.88,432.582,1.0,22.97,0,1,0,,,,20150817,,Active,,
x1523,Bemidji,USGS,,,342857.32,5271069.55,433.129,1.0,77.27,0,1,0,,,,20150818,,Active,,
x1524,Bemidji,USGS,,,342889.9,5271083.55,433.24,1.0,112.73,0,1,0,,,,20150818,,Active,,
x15seis1.27,Bemidji,USGS,,,342808.71,5271028.11,431.91,,,0,0,1,,,,,,Active,,
x15seis1.28,Bemidji,USGS,,,342811.68,5271025.47,431.879,,,0,0,1,,,,,,Active,,
x15seis1.29,Bemidji,USGS,,,342814.64,5271022.67,431.805,,,0,0,1,,,,,,Active,,
x15seis1.30,Bemidji,USGS,,,342820.28,5271017.15,431.815,,,0,0,1,,,,,,Active,,
x15seis1.31,Bemidji,USGS,,,342823.22,5271014.35,431.81,,,0,0,1,,,,,,Active,,
x15seis1.32,Bemidji,USGS,,,342826.05,5271011.55,431.785,,,0,0,1,,,,,,Active,,
x15seis1.33,Bemidji,USGS,,,342828.87,5271008.7,431.785,,,0,0,1,,,,,,Active,,
x15seis1.34,Bemidji,USGS,,,342831.86,5271006.09,431.741,,,0,0,1,,,,,,Active,,
x15seis1.35,Bemidji,USGS,,,342834.72,5271003.32,431.705,,,0,0,1,,,,,,Active,,
x15seis1.36,Bemidji,USGS,,,342837.58,5271000.55,431.68,,,0,0,1,,,,,,Active,,
x15seis1.37,Bemidji,USGS,,,342840.36,5270997.87,431.656,,,0,0,1,,,,,,Active,,
x15seis1.38,Bemidji,USGS,,,342843.4,5270995.06,431.604,,,0,0,1,,,,,,Active,,
x15seis1.39,Bemidji,USGS,,,342845.59,5270992.92,431.592,,,0,0,1,,,,,,Active,,
x15seis1.40,Bemidji,USGS,,,342855.52,5270983.18,431.513,,,0,0,1,,,,,,Active,,
x15seis1.41,Bemidji,USGS,,,342858.27,5270980.14,431.476,,,0,0,1,,,,,,Active,,
x15seis1.26,Bemidji,USGS,,,342805.82,5271030.96,431.866,,,0,0,1,,,,,,Active,,
x15seis1.25,Bemidji,USGS,,,342802.91,5271033.66,431.843,,,0,0,1,,,,,,Active,,
x15seis1.24,Bemidji,USGS,,,342800.02,5271036.44,431.847,,,0,0,1,,,,,,Active,,
x15seis1.23,Bemidji,USGS,,,342797.09,5271039.14,431.833,1.0,-9.89,0,0,1,,,,,,Active,,
x15seis1.22,Bemidji,USGS,,,342791.16,5271044.66,431.763,1.0,6.7,0,0,1,,,,,,Active,,
x15seis1.21,Bemidji,USGS,,,342788.37,5271047.27,431.888,,,0,0,1,,,,,,Active,,
x15seis1.20,Bemidji,USGS,,,342785.45,5271050.06,431.964,,,0,0,1,,,,,,Active,,
x15seis1.19,Bemidji,USGS,,,342782.39,5271052.8,432.002,,,0,0,1,,,,,,Active,,
x15seis1.18,Bemidji,USGS,,,342779.49,5271055.53,432.035,,,0,0,1,,,,,,Active,,
x15seis1.17,Bemidji,USGS,,,342776.52,5271058.19,431.997,,,0,0,1,,,,,,Active,,
x15seis1.16,Bemidji,USGS,,,342773.62,5271060.88,431.953,,,0,0,1,,,,,,Active,,
x15seis1.15,Bemidji,USGS,,,342767.58,5271066.24,432.0,,,0,0,1,,,,,,Active,,
x15seis1.14,Bemidji,USGS,,,342761.71,5271071.66,432.068,,,0,0,1,,,,,,Active,,
x15seis1.13,Bemidji,USGS,,,342758.88,5271074.39,432.087,,,0,0,1,,,,,,Active,,
x15seis1.12,Bemidji,USGS,,,342756.02,5271077.2,432.112,,,0,0,1,,,,,,Active,,
x15seis1.11,Bemidji,USGS,,,342753.21,5271080.01,432.169,,,0,0,1,,,,,,Active,,
x15seis1.10,Bemidji,USGS,,,342750.3,5271082.78,432.199,,,0,0,1,,,,,,Active,,
x15seis1.09,Bemidji,USGS,,,342744.51,5271088.34,432.243,,,0,0,1,,,,,,Active,,
x15seis1.08,Bemidji,USGS,,,342741.6,5271091.04,432.227,,,0,0,1,,,,,,Active,,
x15seis1.07,Bemidji,USGS,,,342738.7,5271093.84,432.249,,,0,0,1,,,,,,Active,,
x15seis1.06,Bemidji,USGS,,,342735.9,5271096.59,432.261,,,0,0,1,,,,,,Active,,
x15seis1.05,Bemidji,USGS,,,342733.04,5271099.34,432.276,,,0,0,1,,,,,,Active,,
x15seis1.04,Bemidji,USGS,,,342730.08,5271102.1,432.289,,,0,0,1,,,,,,Active,,
x15seis1.03,Bemidji,USGS,,,342727.24,5271104.89,432.341,,,0,0,1,,,,,,Active,,
x15seis1.02,Bemidji,USGS,,,342724.43,5271107.76,432.388,,,0,0,1,,,,,,Active,,
x15seis1.01,Bemidji,USGS,,,342721.42,5271110.38,432.423,,,0,0,1,,,,,,Active,,
x15seis2.29,Bemidji,USGS,,,342808.04,5270997.06,431.392,,,0,0,1,,,,,,Active,,
x15seis2.28,Bemidji,USGS,,,342802.88,5271002.13,431.235,,,0,0,1,,,,,,Active,,
x15seis2.27,Bemidji,USGS,,,342797.65,5271007.34,431.401,,,0,0,1,,,,,,Active,,
x15seis2.26,Bemidji,USGS,,,342792.21,5271012.28,431.507,,,0,0,1,,,,,,Active,,
x15seis2.25,Bemidji,USGS,,,342786.99,5271017.42,431.196,,,0,0,1,,,,,,Active,,
x15seis2.24,Bemidji,USGS,,,342781.72,5271022.35,430.935,,,0,0,1,,,,,,Active,,
x15seis2.23,Bemidji,USGS,,,342776.38,5271027.39,430.568,1.0,-13.81,0,0,1,,,,,,Active,,
x15seis2.22,Bemidji,USGS,,,342770.91,5271032.35,430.359,1.0,-16.8,0,0,1,,,,,,Active,,
x15seis2.21,Bemidji,USGS,,,342765.64,5271037.24,430.168,,,0,0,1,,,,,,Active,,
x15seis2.20,Bemidji,USGS,,,342760.26,5271042.29,430.204,,,0,0,1,,,,,,Active,,
x15seis2.19,Bemidji,USGS,,,342755.3,5271047.23,430.368,,,0,0,1,,,,,,Active,,
x15seis2.18,Bemidji,USGS,,,342749.74,5271052.38,430.569,,,0,0,1,,,,,,Active,,
x15seis2.17,Bemidji,USGS,,,342744.23,5271057.18,430.752,,,0,0,1,,,,,,Active,,
x15seis2.30,Bemidji,USGS,,,342813.31,5270991.94,431.311,,,0,0,1,,,,,,Active,,
x15seis2.31,Bemidji,USGS,,,342818.56,5270986.82,431.01,,,0,0,1,,,,,,Active,,
x15seis2.32,Bemidji,USGS,,,342823.87,5270981.92,430.568,,,0,0,1,,,,,,Active,,
x15seis2.33,Bemidji,USGS,,,342829.09,5270976.97,429.986,,,0,0,1,,,,,,Active,,
x15seis2.34,Bemidji,USGS,,,342834.3,5270971.81,429.489,,,0,0,1,,,,,,Active,,
x15seis2.35,Bemidji,USGS,,,342839.56,5270966.71,429.194,,,0,0,1,,,,,,Active,,
x15seis2.36,Bemidji,USGS,,,342844.87,5270961.65,429.099,,,0,0,1,,,,,,Active,,
x15seis2.37,Bemidji,USGS,,,342850.2,5270956.75,428.999,,,0,0,1,,,,,,Active,,
x15seis2.38,Bemidji,USGS,,,342855.54,5270951.57,429.097,,,0,0,1,,,,,,Active,,
x15seis2.39,Bemidji,USGS,,,342860.77,5270946.66,429.372,,,0,0,1,,,,,,Active,,
x15.sp.c1,Bemidji,USGS,,,342818.57,5270848.16,425.946,,,0,0,1,,,,,,Active,,
x15.sp.c2,Bemidji,USGS,,,342817.7,5270850.56,425.841,,,0,0,1,,,,,,Active,,
x15.sp.c3,Bemidji,USGS,,,342815.3,5270855.57,425.817,,,0,0,1,,,,,,Active,,
x15.sp.c4,Bemidji,USGS,,,342814.01,5270860.46,425.903,,,0,0,1,,,,,,Active,,
x15.sp.c5,Bemidji,USGS,,,342811.57,5270864.6,425.979,,,0,0,1,,,,,,Active,,
x15.sp.c6,Bemidji,USGS,,,342809.84,5270869.07,426.071,,,0,0,1,,,,,,Active,,
x15.sp.c7,Bemidji,USGS,,,342808.25,5270870.95,426.081,,,0,0,1,,,,,,Active,,
x15.sp.c9,Bemidji,USGS,,,342804.5,5270867.28,425.946,,,0,0,1,,,,,,Active,,
x15.sp.c8,Bemidji,USGS,,,342843.75,5270878.51,427.056,,,0,0,1,,,,,,Active,,
x15seis2.16,Bemidji,USGS,,,342739.09,5271062.34,430.96,,,0,0,1,,,,,,Active,,
x15seis2.15,Bemidji,USGS,,,342733.81,5271067.36,431.316,,,0,0,1,,,,,,Active,,
x15seis2.14,Bemidji,USGS,,,342728.41,5271072.32,431.521,,,0,0,1,,,,,,Active,,
x15seis2.13,Bemidji,USGS,,,342723.04,5271077.34,431.745,,,0,0,1,,,,,,Active,,
x15seis2.12,Bemidji,USGS,,,342717.55,5271082.25,431.9,,,0,0,1,,,,,,Active,,
x15seis2.11,Bemidji,USGS,,,342712.24,5271087.24,432.079,,,0,0,1,,,,,,Active,,
x15seis2.10,Bemidji,USGS,,,342706.86,5271092.25,432.246,,,0,0,1,,,,,,Active,,
x15seis2.09,Bemidji,USGS,,,342701.45,5271097.2,432.329,,,0,0,1,,,,,,Active,,
x15seis2.08,Bemidji,USGS,,,342696.33,5271102.04,432.445,,,0,0,1,,,,,,Active,,
x15seis2.07,Bemidji,USGS,,,342690.77,5271107.22,432.595,,,0,0,1,,,,,,Active,,
x15seis2.06,Bemidji,USGS,,,342685.4,5271112.03,432.589,,,0,0,1,,,,,,Active,,
x15seis2.05,Bemidji,USGS,,,342680.02,5271116.99,432.635,,,0,0,1,,,,,,Active,,
x15seis2.04,Bemidji,USGS,,,342674.59,5271122.03,432.612,,,0,0,1,,,,,,Active,,
x15seis2.03,Bemidji,USGS,,,342669.44,5271127.37,432.617,,,0,0,1,,,,,,Active,,
x15seis2.02,Bemidji,USGS,,,342664.23,5271132.03,432.296,,,0,0,1,,,,,,Active,,
x15seis2.01,Bemidji,USGS,,,342658.76,5271136.95,431.333,,,0,0,1,,,,,,Active,,
x15.r79,Bemidji,USGS,,,342823.96,5271043.59,432.547,,,0,0,1,,,,,,Active,,
x15.t79,Bemidji,USGS,,,342829.9,5271045.57,432.554,,,0,0,1,,,,,,Active,,
x15.u79,Bemidji,USGS,,,342836.87,5271049.01,432.652,,,0,0,1,,,,,,Active,,
x15.w86,Bemidji,USGS,,,342848.86,5271060.03,432.848,1.0,65.68,0,0,1,,,,,,Active,,
x15.w93,Bemidji,USGS,,,342845.13,5271066.13,432.91,1.0,64.74,0,0,1,,,,,,Active,,
x15.w100,Bemidji,USGS,,,342843.32,5271072.49,433.164,,,0,0,1,,,,,,Active,,
x15.v100,Bemidji,USGS,,,342836.71,5271070.47,433.083,,,0,0,1,,,,,,Active,,
x15.v93,Bemidji,USGS,,,342831.98,5271061.08,432.908,1.0,50.68,0,0,1,,,,,,Active,,
x15.u86,Bemidji,USGS,,,342834.97,5271054.76,432.792,1.0,50.85,0,0,1,,,,,,Active,,
x15.t86,Bemidji,USGS,,,342828.76,5271052.35,432.72,1.0,44.19,0,0,1,,,,,,Active,,
x15.t93,Bemidji,USGS,,,342823.86,5271059.72,433.002,,,0,0,1,,,,,,Active,,
x15.t100,Bemidji,USGS,,,342823.17,5271066.94,432.961,,,0,0,1,,,,,,Active,,
x15.u100,Bemidji,USGS,,,342829.54,5271068.47,433.055,,,0,0,1,,,,,,Active,,
x15.s100,Bemidji,USGS,,,342816.18,5271065.51,432.882,,,0,0,1,,,,,,Active,,
x15.r93,Bemidji,USGS,,,342817.21,5271057.23,432.928,,,0,0,1,,,,,,Active,,
x15.r100,Bemidji,USGS,,,342809.82,5271064.2,432.643,,,0,0,1,,,,,,Active,,
x15.q100,Bemidji,USGS,,,342802.73,5271060.73,432.333,,,0,0,1,,,,,,Active,,
x15.p100,Bemidji,USGS,,,342796.98,5271056.47,432.028,,,0,0,1,,,,,,Active,,
x15.q93,Bemidji,USGS,,,342808.31,5271053.53,432.667,,,0,0,1,,,,,,Active,,
xold.tdr1,Bemidji,USGS,,,342666.81,5270971.12,431.941,,,0,0,1,,,,,,Active,,
xold.tdr2,Bemidji,USGS,,,342688.86,5270950.75,429.273,,,0,0,1,,,,,,Active,,
xold.tdr3,Bemidji,USGS,,,342702.44,5270938.28,428.657,,,0,0,1,,,,,,Active,,
x15seis2.40,Bemidji,USGS,,,342871.56,5270936.31,430.047,,,0,0,1,,,,,,Active,,
x15-N1,Bemidji,USGS,,,342572.01,5271094.63,434.67,,,0,1,0,,,,,,Active,,
x15-N2,Bemidji,USGS,,,342565.51,5271088.99,434.416,,,0,1,0,,,,,,Active,,
x15-N3,Bemidji,USGS,,,342559.28,5271082.39,434.075,,,0,1,0,,,,,,Active,,
x15-N4,Bemidji,USGS,,,342553.14,5271075.79,433.883,,,0,1,0,,,,,,Active,,
x15-N5,Bemidji,USGS,,,342547.28,5271068.99,434.041,,,0,1,0,,,,,,Active,,
x1525FDP,Bemidji,USGS,,,342820.803,5270890.021,426.651,,,0,1,0,,,,20151020,,Active,,
x1526FDP,Bemidji,USGS,,,342816.759,5270885.276,426.66,,,0,1,0,,,,20151020,,Active,,
x1527FDP,Bemidji,USGS,,,342813.884,5270879.957,426.468,,,0,1,0,,,,20151020,,Active,,
x1528FDP,Bemidji,USGS,,,342810.62,5270875.288,426.248,,,0,1,0,,,,20151020,,Active,,
x1529FDP,Bemidji,USGS,,,342808.95,5270871.317,426.105,,,0,1,0,,,,20151020,,Active,,
x1530FDP,Bemidji,USGS,,,342803.8,5270865.244,425.836,,,0,1,0,,,,20151020,,Active,,
x1531FDP,Bemidji,USGS,,,342795.227,5270851.367,425.369,,,0,1,0,,,,20151020,,Active,,
x1532FDP,Bemidji,USGS,,,342788.918,5270842.214,424.885,,,0,1,0,,,,20151020,,Active,,
x1533FDP,Bemidji,USGS,,,342817.757,5270846.771,425.978,,,0,1,0,,,,20151020,,Active,,
x1534FDP,Bemidji,USGS,,,342816.985,5270852.786,425.828,,,0,1,0,,,,20151021,,Active,,
x1535FDP,Bemidji,USGS,,,342801.251,5270885.825,426.827,,,0,1,0,,,,20151021,,Active,,
x1536FDP,Bemidji,USGS,,,342799.249,5270891.783,427.312,,,0,1,0,,,,20151021,,Active,,
x1537FDP,Bemidji,USGS,,,342795.649,5270870.831,426.001,,,0,1,0,,,,20151021,,Active,,
x1538FDP,Bemidji,USGS,,,342782.562,5271035.942,430.292,1.0,-4.69,0,1,0,,,,20151021,,Active,,
x1539FDP,Bemidji,USGS,,,342786.531,5271040.971,431.694,1.0,0.98,0,1,0,,,,20151021,,Active,,
x1803,Bemidji, USGS,,,342670.48,5270962.2,431.888,,,0,0,1,,,,20180626,,Active,,
x1804,Bemidji,USGS,,,342697.8,5270943.38,429.361,,,0,0,1,,,,20180627,,Active,,
x1805,Bemidji,USGS,,,342877.4,5271067.47,433.534,1.0,94.79,0,1,0,,,,20180627,,Active,,
x1806,Bemidji,USGS,,,342877.92,5271068.0,432.92,1.0,95.48,0,1,0,,,,20180627,,Active,,
x1807,Bemidji,USGS,,,342805.62,5271039.51,432.709,1.0,47.62,0,1,0,,,,20180627,,Active,,
xF310G.4,Bemidji,USGS,,,342602.42,5270947.18,436.638,1.0,-205.35,0,0,1,,,,20180621,,Active,,
xF2.1,Bemidji,USGS,,,342702.42,5271075.19,432.08,,,0,0,1,,,,20180621,,Active,,
xF1402G.1,Bemidji,USGS,,,342811.89,5271035.6,432.852,1.0,-21.98,0,0,1,,,,20180621,,Active,,
xWL02,Bemidji,USGS,x473412095050801,"WL02, WETLAND, NE SIDE, SE OF PINEWOOD, MN",343133.39,5270627.9,423.812,0.0,,1,0,0,,,,20190628.0,,Active,,
xWL03,Bemidji,USGS,x473416095051301,"WL03, WETLAND, NE SIDE, SE OF PINEWOOD, MN",343038.69,5270718.15,423.794,0.0,,1,0,0,,,,20190628.0,,Active,,
