Table_Name,Table_Column,Column_Heading,Column_Description,Extended_Description,Unit_Abbreviation,Unit_Definition,Range_Min,Range_Max,Measurement_Method,Definitions_for_No_Data_Values
T4,T,1.3_DiMe_2_EtBz,"1,3-dimethyl-2-ethylbenzene concentration",--,µg/L,microgram per liter,0,6.94,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T5,A,Unique_ID,Unique sample identification number,source code-well number-sampling year,--,--,--,--,--,--
T5,B,Well_Number,number identifying the well from which a sample was taken,Detailed information including sampling site information and well construction can be found in Trost et al. (2018).,--,--,--,--,--,--
T5,C,Year_Sampled,year in which the sample was collected,--,YYYY,year,1985,2015,--,--
T5,D,d13C_DIC,delta13C of dissolved inorganic carbon in water sample,Concentrations of d13C of DIC for sampling years 1985 to 1995 were published in Trost et al. (2020).,‰,per mil,-21.85,19.9,dual inlet isotope-ratio mass spectrometry (DI-IRMS),"""--"" denotes no data"
T5,E,CH4,methane in water sample,Concentrations of methane for sampling years 1985 to 1995 were published in Trost et al. (2020).,mg/L,milligrams per liter,9.29,34.4,headspace analysis using gas chromatography (GC),"""--"" denotes no data"
T6,A,Unique_ID,Unique sample identification number,source code-well number-sampling year,--,--,--,--,--,--
T6,B,Well_Number,number identifying the well from which a sample was taken,Detailed information including sampling site information and well construction can be found in Trost et al. (2018).,--,--,--,--,--,--
T6,C,Year_Sampled,year in which the sample was collected,--,YYYY,year,1986,2015,--,--
T6,D,NVDOC,non-volatile dissolved organic carbon in water sample,Concentrations of NVDOC for sampling years 1986 to 1995 were published in Trost et al. (2020).,mg/L of C,milligrams per liter of carbon,19.4,61.6,high temperature combustion/non-dispersive infrared detector (NDIR),--
